Designator,Mid X,Mid Y,Rotation,Layer
J1,95.25,-100.33,0.0,top
J10,126.746,-100.33,0.0,top
J11,130.302,-100.33,0.0,top
J12,134.62,-100.33,0.0,top
J13,138.176,-100.33,0.0,top
J14,141.732,-100.33,0.0,top
J15,145.288,-100.33,0.0,top
J16,148.844,-100.33,0.0,top
J17,152.4,-100.33,0.0,top
J18,156.21,-100.33,0.0,top
J19,159.766,-100.33,0.0,top
J2,184.15,-100.33,0.0,top
J20,163.322,-100.33,0.0,top
J21,166.878,-100.33,0.0,top
J22,170.434,-100.33,0.0,top
J23,173.99,-100.33,0.0,top
J24,177.546,-100.33,0.0,top
J3,101.854,-100.33,0.0,top
J4,105.41,-100.33,0.0,top
J5,108.966,-100.33,0.0,top
J6,112.522,-100.33,0.0,top
J7,116.078,-100.33,0.0,top
J8,119.634,-100.33,0.0,top
J9,123.19,-100.33,0.0,top
